POPULATION,LATITUDE,LONGITUDE,Total_units,Vacant_units,Median_rooms,Mean_household_size_owners,Mean_household_size_renters,Owners,Median_household_income,Mean_household_income,Built_1990_or_later,Bedrooms_4_or_more,Median_Value
1974,37.848292,-122.249525,929,37,6,2.53,1.81,66,111667,195229,1.2,18.7,909600
4865,37.840265,-122.254416,2655,134,4.6,2.45,1.66,45.1,66094,105877,2.3,10.6,748700
3703,37.848451,-122.25731,1911,68,5,2.04,2.19,45,87306,106248,1.5,11.5,773600
3517,37.848941,-122.264742,1703,71,4.5,2.66,1.72,43.6,62386,74604,1.3,7.5,579200
1571,37.842226,-122.264926,781,65,4.8,2.58,2.18,51,55658,73933,1.2,5.4,480800
4206,37.841719,-122.27215,1977,236,4.3,2.72,2.15,32.2,38646,56705,2.4,9.6,460800
3594,37.845393,-122.283126,1738,257,4.3,2.17,1.93,28.3,52837,66822,18.8,3.5,473500
2302,37.839285,-122.280316,1202,80,4.4,2.7,1.92,31.7,59091,59690,2.8,8,439300
5678,37.831263,-122.272163,2665,500,4.6,2.75,2.08,35.1,40402,50056,2.2,3.9,369800
4156,37.829959,-122.263403,2182,148,3.5,2.3,1.96,16.8,44140,56674,3.2,4.5,467200
2416,37.830988,-122.258039,1372,33,4.3,2.02,1.61,41.7,59554,81476,2.8,3.3,591200
3528,37.8165,-122.26787,1908,227,3,1.45,1.97,12.5,31080,45789,17.5,2,352400
4314,37.819904,-122.273309,1870,432,3.9,2.15,2.6,18.1,30777,38234,4.3,8.9,322700
2630,37.823505,-122.28048,1254,382,3.9,2.09,1.86,40.4,27183,47209,11.4,3,353700
2163,37.81667,-122.279621,947,173,4.1,3.47,2.17,18,37679,47593,32,7.9,321600
2667,37.817286,-122.293793,1025,167,4.1,2.51,3.1,44.4,62895,79060,49.5,5.2,377800
1703,37.809593,-122.298293,854,277,4.6,3.28,2.53,15.1,30370,38382,16.1,13.5,334100
2385,37.807292,-122.295186,1020,158,4.5,2.92,2.31,32,39286,52775,11.7,10.6,374200
2351,37.811419,-122.28219,1210,126,4.1,3.45,2.01,14.9,20874,29672,5,16.5,330900
1784,37.804984,-122.285183,846,79,4.3,2.21,2.72,23.5,21571,36145,16.9,10.2,285500
1151,37.804782,-122.279657,628,71,3,2.2,1.44,23.2,22531,45619,29.6,9.1,356000
1569,37.810251,-122.277443,796,131,4,2.25,2.24,37.3,35080,48131,9.2,12.1,347600
3345,37.808665,-122.272709,1716,211,2.5,1.71,1.35,9.6,21993,41640,25.6,5,324100
2788,37.800788,-122.270661,1597,375,3,1.54,1.91,21.6,17569,33976,24.8,4.7,369900
2238,37.801099,-122.276502,655,82,3,1.71,1.75,41.5,42625,56426,59.1,4.9,407100
4054,37.7956,-122.267839,2372,334,3.2,1.84,2.05,28.6,69605,74171,52.9,2.6,404000
4146,37.803458,-122.263683,3086,118,3,1.26,1.49,12.7,42358,61668,9.8,0,452300
4374,37.817316,-122.259876,2513,170,3.1,1.96,2.1,12.2,33635,51389,6.6,2.8,351700
1991,37.816035,-122.256743,1359,133,3.4,1.66,1.59,29.2,63199,71320,1,0,272600
4482,37.813421,-122.254114,2932,369,3.3,2.11,1.77,22.1,56303,73091,0.8,5.1,364200
2587,37.811375,-122.258315,2030,318,2.8,1.44,1.44,10.9,60278,68211,0.7,1.2,343600
1724,37.809381,-122.253441,1184,33,3.5,1.54,1.67,18.9,66761,76234,0,0,377900
3461,37.814476,-122.242249,2033,139,4.2,2.37,1.7,33,78036,107081,3.6,12.6,720200
3584,37.817368,-122.249127,2374,122,3.7,1.92,1.58,33,61995,85867,3.6,4.8,426900
2819,37.822454,-122.25253,1835,133,3.5,1.53,1.54,23.1,61632,71972,4.5,4.4,429800
2929,37.830348,-122.250622,1892,207,3.6,1.98,1.56,39.8,73899,94146,3.8,3.3,682200
2283,37.825832,-122.251044,1773,174,3.3,1.81,1.43,10.8,50684,67765,1.7,4,579700
3483,37.837583,-122.229689,1457,64,7.2,2.48,1.86,80.8,152853,198644,19.1,35.4,918900
5314,37.844684,-122.2158,2433,233,6,2.47,1.93,84.5,133347,165338,50.5,28.2,857400
5784,37.834622,-122.202426,2606,134,6.4,2.32,2.74,83.3,125714,152845,10.2,32.2,832000
4353,37.824214,-122.192737,1907,91,7,2.48,1.7,96.5,147778,189849,11.8,44.4,836000
1954,37.812155,-122.207488,842,47,7.4,2.56,2.6,83.5,137232,138297,1.9,29.8,770800
2684,37.804704,-122.213272,1337,51,4.6,2.51,1.42,57.7,88833,88446,0,7.5,648900
4129,37.80394,-122.221525,2032,56,5.1,2.23,2.3,60,65158,94377,0,9.6,599400
3136,37.808241,-122.225708,1663,231,5.8,2.62,1.67,63,108472,133830,0,19.8,721200
4197,37.811496,-122.232389,1669,101,7.5,2.8,1.83,91.1,166554,212536,3.5,33.5,890700
4597,37.805121,-122.244707,2660,287,4.2,2.73,1.64,23.8,59332,72401,0.4,10.2,569700
2603,37.802213,-122.25137,1680,63,3.5,1.51,1.65,11.9,61750,73818,3.4,3.6,438000
2530,37.798371,-122.254529,1623,98,2.7,2.22,1.75,3.9,20787,34790,0.2,0.2,528800
3957,37.796502,-122.249274,1815,259,3.3,3.38,2.23,18.3,27360,41809,0.8,7.8,325000
3114,37.793393,-122.245787,1284,188,3.4,2.33,2.21,21.2,30534,42939,0,3.3,320400
3643,37.798377,-122.243251,1745,181,4,3.3,2.03,22.4,41550,56051,4,8.3,423200
3137,37.800774,-122.237766,1539,142,3.8,3.24,1.88,24.1,41820,53145,3.7,10,462300
3243,37.797944,-122.229405,1530,322,3.7,3.23,2.07,29.6,43750,55855,0,4.4,394000
3965,37.793907,-122.233227,1433,135,4.8,3.06,3.05,42.1,38472,48021,3.9,12.8,353300
3910,37.787735,-122.236032,1169,169,4.3,4.2,3.28,21.6,38879,44860,2.2,5.7,571700
3035,37.79099,-122.241014,1054,24,4.5,3.17,3.23,35.8,38523,43573,9.5,5,332800
3450,37.792134,-122.252325,1589,175,3.2,3.93,2.2,7.9,24922,45824,7.3,4.8,402100
4381,37.775082,-122.229059,1606,241,4.4,2.84,2.73,28.1,52917,59223,42.3,7.4,348900
4649,37.784942,-122.23063,1607,226,4,3.69,3.76,15.5,29727,43231,9.9,7.9,416300
4718,37.782006,-122.226739,1389,192,3.6,2.99,3.42,13.9,25417,40365,16.1,6,381400
4113,37.789134,-122.225086,1368,169,4.5,3.68,3.26,42.3,37731,48206,3.4,21.2,304900
2145,37.794392,-122.22175,803,46,4.4,3.33,2.29,44.3,48694,56143,6.9,1.7,405100
5930,37.788388,-122.217093,2059,365,4.4,3.82,2.91,39.3,34669,53048,9.1,10.4,342100
4596,37.793538,-122.208333,1914,110,4.2,2.6,2.58,37.9,49357,53550,4.7,1.3,384900
2493,37.795766,-122.214744,1003,121,4.4,2.8,2.37,43.3,50793,64401,7.1,13.3,351000
5048,37.802231,-122.20407,2363,221,5.2,2.5,1.9,69.3,94565,108294,10.4,7.2,540000
3428,37.796987,-122.195694,1505,133,5,2.59,2.55,67.7,72568,86191,0,13.1,524900
3719,37.792556,-122.191739,1626,100,5.2,2.51,2.58,61,77097,110022,5.4,19.3,556500
5885,37.787523,-122.203288,2350,341,4.3,3.15,2.75,41.6,37851,52790,3.7,9.7,306800
3414,37.783072,-122.214771,1126,120,4.1,3.3,3.83,25.1,29432,47516,12,7.4,352300
4351,37.781064,-122.210336,1403,189,4.6,3.66,2.92,52.9,42857,49629,4.3,4.5,361500
6746,37.778084,-122.219368,1916,242,3.8,3.26,3.53,25.3,36667,47252,6.3,9.1,480400
2598,37.766422,-122.208745,794,51,4.8,4.32,3.4,34.1,43224,56806,1.5,14.5,202000
3954,37.770995,-122.206895,1196,78,4.6,3.83,3.54,33.6,36552,53311,4.4,6.8,293500
3931,37.769421,-122.197642,1432,200,4.3,2.87,2.53,22,26848,35926,13.7,12.7,392600
6027,37.77719,-122.203607,2386,233,4.8,2.9,2.96,48.4,47388,58782,4.3,12.8,416200
4109,37.776356,-122.193265,1913,176,5.7,2.48,2.1,80.7,69637,82043,1.4,7.2,425800
2425,37.782023,-122.189557,816,117,5.4,2.51,3.94,80,60469,71105,4.7,14,413900
2706,37.788232,-122.186216,1257,196,5.2,2.61,1.99,80.9,90408,101662,3.6,15.5,528600
2671,37.802069,-122.181962,1050,68,6.6,2.29,2.97,86.3,115729,134553,20.8,26.6,717600
5991,37.78272,-122.15649,2769,261,6.1,2.34,2.12,80.8,108468,139518,14,30.1,686700
4054,37.774619,-122.176128,1947,284,4.5,2.19,2.45,50,50186,61334,1.1,6.2,399300
4167,37.770292,-122.164941,1941,140,5.3,2.7,2.83,69.1,52075,69759,3.7,11.9,391700
3323,37.764837,-122.17107,1413,290,4.9,3.09,3.25,50.9,35781,48911,5.6,4.6,264600
4972,37.760259,-122.178894,1768,248,4.8,3.54,3.28,51.3,36429,43402,2.9,7,333400
5492,37.764969,-122.183777,1971,286,4.9,3.54,3.2,44.9,33539,47571,20.5,11.6,280000
7207,37.768332,-122.18978,2616,542,4.7,2.93,3.19,46.8,40680,46500,10.2,2.5,317400
5547,37.759438,-122.196713,1899,207,4.4,3.97,2.9,27.4,22587,32622,24.8,4.6,347300
3414,37.755682,-122.186029,1117,131,4.2,3.92,2.75,33.5,21216,29070,16.2,7.9,222500
3552,37.734916,-122.188832,1117,67,5.1,3.22,3.94,43.2,35357,45816,9.3,15.1,275000
2255,37.732071,-122.183268,704,54,4.9,3.8,3.71,66,59655,68738,12.8,14.5,268400
